ObjectID,extendPortTotalPrevious15MinDnDiscByteCounter,extendPortTotalPrevious15MinDnDiscFrameCounter,extendPortTotalPrevious15MinDnFwdByteCounter,extendPortTotalPrevious15MinDnFwdFrameCounter,extendPortTotalPrevious15MinTimeMeasured,extendPortTotalPrevious15MinUpDiscByteCounter,extendPortTotalPrevious15MinUpDiscFrameCounter,extendPortTotalPrevious15MinUpFwdByteCounter,extendPortTotalPrevious15MinUpFwdFrameCounter
R1.S1.LT5.PON13.ONT28.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON10.ONT39.C14.P1,0,0,186242688,133892,900,0,0,19943760,84342
R1.S1.LT5.PON13.ONT54.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON8.ONT15.C14.P1,0,0,134736291,102006,900,0,0,10515166,61371
R1.S1.LT6.PON8.ONT46.SERV1,0,0,65176,125,900,0,0,159496,212
R1.S1.LT5.PON3.ONT61.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON5.ONT5.SERV1,0,0,68180,128,900,0,0,173140,210
R1.S1.LT5.PON14.ONT44.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON8.ONT22.SERV1,0,0,7381,29,900,0,0,55931,97
R1.S1.LT5.PON3.ONT33.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON14.ONT16.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON4.ONT8.C14.P1,0,0,4689,42,900,0,0,11226,44
R1.S1.LT5.PON15.ONT26.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON11.ONT1.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON5.ONT46.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON16.ONT32.SERV1,0,0,68388,131,900,0,0,182168,230
R1.S1.LT7.PON11.ONT37.C14.P1,0,0,91405808,66226,900,0,0,4398942,37322
R1.S1.LT5.PON2.ONT38.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON4.ONT21.SERV1,0,0,6229,28,900,0,0,60927,106
R1.S1.LT5.PON16.ONT47.C14.P1,0,0,399861463,410930,900,0,0,124733836,239894
R1.S1.LT2.PON2.ONT29.C14.P1,0,0,2911,40,900,0,0,2589,36
R1.S1.LT7.PON10.ONT12.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT8.PON15.ONT39.C14.P1,0,0,428477642,336406,900,0,0,6325156,39681
R1.S1.LT5.PON2.ONT12.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON5.ONT20.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON7.ONT12.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON13.ONT3.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON13.ONT8.SERV1,0,0,68628,126,900,0,0,170966,200
R1.S1.LT5.PON16.ONT21.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON10.ONT52.C14.P1,0,0,132767693,117726,900,0,0,10050484,53142
R1.S1.LT6.PON10.ONT7.C14.P1,0,0,167277630,145529,900,0,0,13172193,127017
R1.S1.LT5.PON2.ONT44.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON4.ONT29.SERV1,0,0,4397,21,900,0,0,65453,108
R1.S1.LT5.PON14.ONT30.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON7.ONT64.C14.P1,0,0,229152727,177257,900,0,0,11461295,84352
R1.S1.LT7.PON12.ONT10.C14.P1,0,0,31272135,30212,900,0,0,3364893,19472
R1.S1.LT6.PON5.ONT6.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON12.ONT4.SERV1,0,0,79974,146,900,0,0,178604,221
R1.S1.LT5.PON16.ONT38.SERV1,0,0,83685,156,900,0,0,180305,223
R1.S1.LT5.PON3.ONT47.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON2.ONT12.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON7.ONT12.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON2.ONT22.C14.P1,0,0,654352198,455243,900,0,0,5980653,52658
R1.S1.LT4.PON10.ONT4.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON13.ONT43.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON10.ONT26.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON2.ONT3.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON11.ONT9.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT8.PON13.ONT25.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON10.ONT22.SERV1,0,0,4947,22,900,0,0,60515,101
R1.S1.LT4.PON2.ONT23.C14.P1,0,0,52443347,41510,900,0,0,5319727,31078
R1.S1.LT6.PON6.ONT11.SERV1,0,0,107099,191,900,0,0,199974,238
R1.S1.LT2.PON13.ONT17.C14.P1,0,0,186378615,135987,900,0,0,8001746,44488
R1.S1.LT6.PON5.ONT33.C14.P1,0,0,719538670,552403,900,0,0,28697886,203160
