ObjectID,gponOntOntsideAggGemIntervalReceiveBlocksCounter64,gponOntOntsideAggGemIntervalReceiveFrags,gponOntOntsideAggGemIntervalTransmitBlocksCounter64,gponOntOntsideAggGemIntervalTransmitFrags
R1.S1.LT6.PON5.ONT26,9369,1331,10929,1428
R1.S1.LT6.PON6.ONT25,7181570,357261,2771983,177464
R1.S1.LT2.PON2.ONT26,2053,228,4135,887
R1.S1.LT6.PON6.ONT26,18726698,702208,1091246,314498
R1.S1.LT2.PON4.ONT21,2196831,83603,105959,29997
R1.S1.LT3.PON8.ONT26,176,71,1354,450
R1.S1.LT4.PON1.ONT26,118922,5199,10365,2834
R1.S1.LT4.PON2.ONT25,2711234,111739,195219,65656
R1.S1.LT2.PON4.ONT22,329019,16005,135279,13212
R1.S1.LT4.PON2.ONT26,385,211,1190,314
R1.S1.LT5.PON4.ONT29,7538680,273622,485642,170899
R1.S1.LT6.PON5.ONT29,1362,311,2761,736
R1.S1.LT2.PON2.ONT29,202,82,1206,346
R1.S1.LT6.PON6.ONT29,1727319,74346,174467,34837
R1.S1.LT2.PON1.ONT27,6353710,234572,263496,87906
R1.S1.LT2.PON4.ONT20,152,68,1367,375
R1.S1.LT5.PON4.ONT27,261,93,1364,452
R1.S1.LT6.PON5.ONT27,2601200,91777,118017,54300
R1.S1.LT5.PON4.ONT20,5565319,203072,233344,93462
R1.S1.LT6.PON5.ONT20,1218798,44208,56598,20867
R1.S1.LT2.PON1.ONT20,5598,1571,6249,516
R1.S1.LT3.PON7.ONT27,6483503,251921,369249,155558
R1.S1.LT4.PON2.ONT29,276774,26973,56232,24996
R1.S1.LT4.PON3.ONT20,224,105,1356,380
R1.S1.LT6.PON7.ONT26,103262459,3633978,8988299,2490867
R1.S1.LT6.PON8.ONT25,40161,2496,12771,2814
R1.S1.LT3.PON7.ONT28,35816394,1304738,1339092,557946
R1.S1.LT3.PON8.ONT27,208,101,1435,466
R1.S1.LT4.PON1.ONT27,9684802,367424,762637,211719
R1.S1.LT6.PON8.ONT26,25446539,1060767,1561954,756826
R1.S1.LT2.PON4.ONT23,412123,15525,14599,4069
R1.S1.LT3.PON7.ONT25,0,0,0,0
R1.S1.LT3.PON8.ONT28,892706,54428,3078436,133101
R1.S1.LT4.PON1.ONT28,235,77,1096,322
R1.S1.LT4.PON2.ONT27,1077708,39965,26869,11183
R1.S1.LT2.PON4.ONT24,19011,8651,33225,14883
R1.S1.LT3.PON7.ONT26,20976289,812735,1092101,470903
R1.S1.LT3.PON8.ONT25,276,114,1068,352
R1.S1.LT4.PON1.ONT25,49837,2284,6251,1647
R1.S1.LT4.PON2.ONT28,2038452,82491,151101,46963
R1.S1.LT2.PON1.ONT24,2539779,98651,212792,69307
R1.S1.LT5.PON4.ONT24,18722084,671295,535920,258414
R1.S1.LT2.PON2.ONT23,8769942,313776,297071,142874
R1.S1.LT6.PON5.ONT24,33657477,1447060,8142176,988051
R1.S1.LT6.PON6.ONT23,8949914,348537,568590,173585
R1.S1.LT6.PON8.ONT29,9538519,535153,2186858,274922
R1.S1.LT6.PON9.ONT28,2257,260,4350,1041
R1.S1.LT7.PON9.ONT25,1269361,49371,74168,24022
R1.S1.LT6.PON5.ONT21,13373204,477681,564380,203406
R1.S1.LT5.PON4.ONT21,533,114,2092,779
R1.S1.LT2.PON1.ONT21,4349873,153009,153405,51643
R1.S1.LT4.PON3.ONT21,2367,326,5648,1629
R1.S1.LT6.PON6.ONT24,19461384,714544,1186002,447059
R1.S1.LT6.PON7.ONT27,5055871,208938,1002238,121011
R1.S1.LT6.PON9.ONT25,1133,276,2833,729
R1.S1.LT7.PON9.ONT26,119580,5511,11149,2862
R1.S1.LT5.PON4.ONT22,1565,372,3085,943
R1.S1.LT2.PON1.ONT22,3800,1458,3992,256
R1.S1.LT2.PON2.ONT21,18135675,713042,3222489,460953
R1.S1.LT3.PON7.ONT29,8900,3444,3554,916
R1.S1.LT6.PON7.ONT28,7056687,354305,4185290,279420
R1.S1.LT6.PON8.ONT27,3830012,264598,8148450,349103
R1.S1.LT4.PON3.ONT22,185597,8703,25866,5488
R1.S1.LT6.PON5.ONT22,37062,4348,14522,4361
R1.S1.LT6.PON9.ONT26,6474023,222971,153611,76232
R1.S1.LT6.PON6.ONT21,964968,33501,38083,17617
R1.S1.LT2.PON2.ONT22,1829,219,3746,888
R1.S1.LT3.PON8.ONT29,11913266,419398,498336,232774
R1.S1.LT4.PON1.ONT29,16877674,614385,810671,305164
R1.S1.LT6.PON6.ONT22,2116,292,4854,1316
R1.S1.LT6.PON7.ONT25,464878,17543,33557,6850
R1.S1.LT6.PON8.ONT28,2102,224,4098,941
R1.S1.LT3.PON7.ONT30,9467,3572,4886,1277
R1.S1.LT3.PON8.ONT33,586,132,2147,785
R1.S1.LT3.PON7.ONT31,21713811,794156,1288257,382847
R1.S1.LT3.PON8.ONT30,10818,773,4420,1311
R1.S1.LT4.PON1.ONT30,214,76,1212,380
R1.S1.LT3.PON8.ONT31,215,92,1360,446
R1.S1.LT4.PON1.ONT31,21964659,789018,620379,217586
R1.S1.LT5.PON4.ONT34,399,208,1146,355
R1.S1.LT6.PON5.ONT34,998011,37865,33761,10838
R1.S1.LT6.PON9.ONT38,20178,1353,8129,1885
R1.S1.LT6.PON7.ONT33,3488863,205647,8283368,421170
R1.S1.LT6.PON8.ONT32,26935193,1010901,938531,357909
R1.S1.LT6.PON9.ONT31,6592105,217497,107654,56711
R1.S1.LT3.PON7.ONT35,7935,3354,315,152
R1.S1.LT3.PON8.ONT34,409,195,2123,789
R1.S1.LT6.PON7.ONT30,2302,250,4356,930
R1.S1.LT6.PON8.ONT33,1890,231,4169,1060
R1.S1.LT3.PON7.ONT32,11093,3824,5092,1436
R1.S1.LT3.PON8.ONT35,2119717,79119,84713,24328
R1.S1.LT6.PON7.ONT31,1078739,40970,71177,26282
R1.S1.LT3.PON7.ONT33,10743064,408636,721060,305177
R1.S1.LT3.PON8.ONT32,184,85,1432,485
R1.S1.LT4.PON1.ONT32,763990,29248,43807,13381
R1.S1.LT6.PON8.ONT31,1241,181,2735,662
R1.S1.LT2.PON14.ONT4,4440,1337,6293,1496
R1.S1.LT6.PON9.ONT35,11924570,406360,176428,92680
R1.S1.LT7.PON9.ONT32,67,45,334,165
R1.S1.LT7.PON9.ONT33,10894,921,6905,1591
R1.S1.LT6.PON7.ONT35,4288435,147160,84917,25334
R1.S1.LT6.PON8.ONT34,1938,491,3719,954
R1.S1.LT6.PON9.ONT33,2155316,76592,76960,29218
R1.S1.LT7.PON9.ONT30,3992620,161814,217028,63950
R1.S1.LT6.PON7.ONT32,12948535,461584,276360,114131
R1.S1.LT6.PON8.ONT35,31105716,1105878,1829153,556953
R1.S1.LT6.PON9.ONT30,21763325,752145,857055,370007
R1.S1.LT7.PON9.ONT31,10826404,435824,3656168,223769
R1.S1.LT2.PON14.ONT8,92,63,311,117
R1.S1.LT2.PON16.ONT6,218945,8422,13250,5071
R1.S1.LT2.PON16.ONT3,3693279,145802,47041,13979
R1.S1.LT2.PON14.ONT6,52325,6857,39419,6845
R1.S1.LT2.PON16.ONT4,3150436,112438,124213,54552
R1.S1.LT7.PON9.ONT34,11607460,503091,5145090,390732
R1.S1.LT6.PON9.ONT34,4840407,180019,91655,32856
R1.S1.LT7.PON9.ONT35,0,0,0,0
R1.S1.LT2.PON1.ONT39,1683,1168,1005,326
R1.S1.LT6.PON6.ONT38,4394303,151255,216442,101520
R1.S1.LT2.PON1.ONT36,743984,40585,86057,38510
R1.S1.LT5.PON4.ONT36,218681,19146,65920,16901
R1.S1.LT6.PON5.ONT36,2097,302,3992,1269
R1.S1.LT6.PON6.ONT39,2124,828,3317,868
R1.S1.LT2.PON1.ONT37,11492287,413626,304349,123017
R1.S1.LT5.PON4.ONT37,828591,29228,25490,12858
R1.S1.LT6.PON5.ONT37,136511,14858,52020,18081
R1.S1.LT6.PON6.ONT36,32618817,1199236,2979688,614186
R1.S1.LT6.PON6.ONT37,1841,221,3849,869
R1.S1.LT3.PON8.ONT37,196,71,1269,414
R1.S1.LT2.PON1.ONT38,3224,1311,3549,806
R1.S1.LT5.PON4.ONT38,496878,19358,33870,13572
R1.S1.LT6.PON5.ONT38,6324036,239259,230915,80294
R1.S1.LT2.PON1.ONT31,2185372,90104,310403,55435
R1.S1.LT5.PON4.ONT31,158,73,1291,401
R1.S1.LT2.PON2.ONT30,34325035,1418867,3250568,719614
R1.S1.LT3.PON7.ONT38,2196700,81568,17064,4472
R1.S1.LT6.PON5.ONT31,3070,321,6015,1440
R1.S1.LT6.PON6.ONT30,3657,2583,301,146
R1.S1.LT6.PON7.ONT37,1279971,55091,99186,21529
R1.S1.LT6.PON8.ONT36,1460231,58505,65471,19669
R1.S1.LT2.PON2.ONT31,65974871,2477449,3862601,1147404
R1.S1.LT3.PON7.ONT39,8826109,328069,343584,109201
R1.S1.LT3.PON8.ONT38,60064,8548,201785,13480
